row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
19538,"I admire your commitment to conserving energy, but it’s a bigger problem.",weather and environment,passive-aggressive,doomer and nihilistic,compliments or praise
19539,You have a talent for noticing the little things in nature.,weather and environment,completely out of touch with youth culture,doomer and nihilistic,compliments or praise
19540,You’ve done an impressive job raising ecological awareness.,weather and environment,full lecture mode,villain arc mentality,compliments or praise
19541,You might want to educate yourself about renewable energy.,weather and environment,unsolicited advice-giver,delulu and delusional optimism,compliments or praise
19542,Appreciate the change of seasons; it’s truly amazing.,weather and environment,full lecture mode,extremely overdramatic,compliments or praise
19543,I hope you stay warm during this chilly season.,weather and environment,completely out of touch with youth culture,unhinged chaos energy,compliments or praise
19544,You should always carry a reusable water bottle.,weather and environment,full lecture mode,extremely overdramatic,compliments or praise
19545,The air is so crisp and refreshing this morning.,weather and environment,completely out of touch with youth culture,doomer and nihilistic,compliments or praise
19546,You should be cautious about how much you travel; it all adds up.,weather and environment,passive-aggressive,doomer and nihilistic,compliments or praise
19547,It’s vital to protect our natural habitats.,weather and environment,passive-aggressive,ironic hype,compliments or praise
19548,Make sure to enjoy the fresh air while you can!,weather and environment,completely out of touch with youth culture,doomer and nihilistic,compliments or praise
19549,The weather forecast looks promising for the weekend.,weather and environment,completely out of touch with youth culture,unhinged chaos energy,compliments or praise
19550,The environment needs our protection now more than ever.,weather and environment,completely out of touch with youth culture,unhinged chaos energy,compliments or praise
19551,"I must say, your appreciation for the environment is quite impressive.",weather and environment,overly polite to the point of awkward,extremely overdramatic,compliments or praise
19552,I must express how wonderful it is to see you enjoy the outdoors.,weather and environment,overly polite to the point of awkward,extremely overdramatic,compliments or praise
19553,You should respect all forms of life around you.,weather and environment,unsolicited advice-giver,delulu and delusional optimism,compliments or praise
19554,We need to start planting more trees.,weather and environment,passive-aggressive,ironic hype,compliments or praise
19555,It’s lovely to see so many people enjoying the outdoors today.,weather and environment,overly polite to the point of awkward,extremely overdramatic,compliments or praise
19556,You ought to support local farmers more.,weather and environment,passive-aggressive,ironic hype,compliments or praise
19557,Seeing a rainbow should make you feel grateful.,weather and environment,unsolicited advice-giver,delulu and delusional optimism,compliments or praise
19558,"You have a great garden, but don't forget that climate change is a thing.",weather and environment,passive-aggressive,doomer and nihilistic,compliments or praise
19559,You've shown remarkable resilience in adapting to climate change.,weather and environment,full lecture mode,villain arc mentality,compliments or praise
19560,It's prudent to dress appropriately for the weather.,weather and environment,overly literal and pedantic,villain arc mentality,compliments or praise
19561,We must be mindful of our waste production.,weather and environment,full lecture mode,extremely overdramatic,compliments or praise
19562,Make sure to turn off lights when you leave a room.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19563,You need to check the forecast every day.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19564,It is advisable to check your roof for leaks.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19565,Check if you need to bring a coat for the evening.,weather and environment,confused by technology,main character vibes,commands or instructions
19566,Take shelter during severe weather.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19567,You need to save energy by unplugging devices.,weather and environment,confused by technology,main character vibes,commands or instructions
19568,Please refrain from outdoor activities during the excessive heat.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19569,Reduce your plastic use to help the environment.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19570,Do not ignore severe weather warnings.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19571,You must understand that every action has consequences for the environment.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19572,You need to start recycling; the planet is in serious trouble.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19573,You should be cautious while driving in snow.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19574,You should respect nature and not litter.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19575,Please participate in local environmental initiatives.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19576,You should limit your use of fossil fuels; it's not sustainable.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19577,Stay indoors during the storm.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19578,Make sure to wear a jacket when it's cold outside.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19579,Stay vigilant about natural disasters.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19580,Be mindful of the climate changes.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19581,Prepare your home for the winter months.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19582,"Stay hydrated, it's hot out there.",weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19583,Stay hydrated when spending time outside.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19584,Please ensure you carry an umbrella today.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19585,It is important to monitor the weather patterns always.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19586,Observe the stars on a clear night.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19587,Educate yourself on local wildlife and their habitats.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19588,Close the door to keep the heat in.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19589,You should appreciate the fresh air when you go outside.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19590,Ensure you clean up after your pets outside.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19591,You should stay informed about environmental news.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19592,You should take responsibility for your waste.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19593,"Please monitor your air quality, especially during haze.",weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19594,Support local farmers for fresh produce.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19595,Don't ignore weather warnings.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19596,You should take care of your local environment; it's your responsibility.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19597,You should report any environmental hazards you notice.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19598,Consider checking the air pressure before going hiking.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19599,Check for hurricane updates if you're in a prone area.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19600,You should really be mindful of your carbon footprint; it's a big deal.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19601,You have to stay informed about natural disasters; they can happen anytime.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19602,Keep the thermostat at a reasonable temperature.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19603,You should consider using public transport more frequently.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19604,Make sure to charge your phone before going out.,weather and environment,confused by technology,main character vibes,commands or instructions
19605,You need to be aware of the consequences of deforestation.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19606,Don’t forget to bring a jacket tonight.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19607,Be cautious of ice on the roads in winter.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19608,You need to save energy when it's cold.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19609,Pay attention to the severe weather alerts issued today.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19610,You should avoid going out during a storm.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19611,Practice good habits to reduce waste.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19612,Ensure that your vehicle undergoes regular maintenance.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19613,You need to clean up after your pet.,weather and environment,confused by technology,main character vibes,commands or instructions
19614,Always recycle your plastic bottles to help the environment.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19615,Attend local workshops on sustainability.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19616,Clear out the gutters to prevent flooding.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19617,Support local farmers by buying fresh produce.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19618,It is essential to stay hydrated during hot weather.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19619,You can't just assume the weather will be fine; always prepare for the worst.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19620,Pack snacks for long hikes; you’ll need them.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19621,It is imperative to reduce carbon footprints.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19622,You should learn about sustainable practices.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19623,You should prepare for climate change.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19624,Wear sunglasses to protect your eyes from UV rays.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19625,You need to follow local conservation guidelines.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19626,Dress appropriately for the rainy season.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19627,Stop wasting water; we could be running out soon.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19628,Be cautious during heatwaves.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19629,Plant a tree to help the environment.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19630,Try to limit your use of single-use plastics.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19631,You can't just throw trash on the ground; it's disrespectful to nature.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19632,Maintain acceptable levels of household waste.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19633,Be wary of strong winds on the beach.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19634,Turn off the lights to save energy.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19635,Dress warmly when it's snowing outside.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19636,Be careful of slippery sidewalks during winter.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19637,Take caution in wildfires season.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19638,Always pick up after your pets to keep the park clean.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19639,You must avoid large crowds during extreme weather.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19640,It is advisable to stay indoors during a blizzard.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19641,You ought to take care of your garden.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19642,Wear a coat; it's freezing outside.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19643,It is strongly advised to limit outdoor activities during the heatwave.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19644,Always check the pollen count if you have allergies.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19645,Don't forget to wear boots in the rain.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19646,You need to check for pollen levels if you have allergies.,weather and environment,confused by technology,main character vibes,commands or instructions
19647,Stay hydrated during the summer heat.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19648,Make sure to watch for storms on the horizon.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19649,You must take care of the planet.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19650,You should educate yourself about renewable energy; it's the future.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19651,You are encouraged to embrace eco-friendly practices.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19652,You should drive less to cut emissions.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19653,You need to understand the significance of sustainable living.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19654,Put on sunscreen before going to the beach.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19655,You must not underestimate the importance of biodiversity.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19656,Do not litter; dispose of your trash properly.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19657,Make sure your car is well-maintained for efficiency.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19658,Make sure to close the blinds when it’s too hot.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19659,You should observe the wildlife carefully.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19660,You must bring a flashlight for visibility tonight.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19661,Don't dismiss the value of clean water; it's essential for life.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19662,You should close the blinds to keep the heat out.,weather and environment,confused by technology,main character vibes,commands or instructions
19663,Please review the air quality index regularly.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19664,Use an umbrella to stay dry in the rain.,weather and environment,confused by technology,main character vibes,commands or instructions
19665,Wear a hat in the sun.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19666,Be careful with the firepit.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19667,Be aware of seasonal allergies and take precautions.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19668,Get involved in community clean-up efforts.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19669,Take care of your garden to promote biodiversity.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19670,Ensure that you close the windows during the storm.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19671,You should look for a weather radar online.,weather and environment,confused by technology,main character vibes,commands or instructions
19672,Make sure you wear boots in the snow.,weather and environment,confused by technology,main character vibes,commands or instructions
19673,Avoid driving when the roads are icy.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19674,You need to remember to switch off the lights when not needed.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19675,You must learn about the effects of deforestation.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19676,Prepare your home for winter weather.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19677,It is pivotal to engage in community clean-up events.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19678,Please clean up the litter around your neighborhood.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19679,Remember to close the windows before the storm.,weather and environment,confused by technology,main character vibes,commands or instructions
19680,You can't ignore the rising sea levels; they threaten our future.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19681,You should respect the environmental regulations.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19682,Be aware of how your consumption affects the planet.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19683,Make sure to plant trees to combat climate change.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19684,You should keep your distance from flood zones.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19685,You have to stay away from floodwaters.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19686,Consider using less water when you shower.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19687,Enjoy the falling leaves in autumn.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19688,Make sure to dress appropriately for the rain.,weather and environment,confused by technology,main character vibes,commands or instructions
19689,Check the weather report before going out.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19690,You should bring a jacket; it's chilly outside.,weather and environment,confused by technology,main character vibes,commands or instructions
19691,Watch out for flash floods in the area.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19692,You need to realize that extreme weather is becoming the norm.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19693,Plan ahead for natural disasters.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19694,You must secure your belongings during a storm.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19695,Make sure to bundle up when it's windy.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19696,It's vital to respect wildlife and their habitats.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19697,You need to lower your thermostat on hot days.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19698,Use natural light whenever possible.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19699,You should consider how your actions affect the environment; every little bit counts.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19700,You should really be careful with the rising temperatures; they're alarming.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19701,You should be mindful of pollution in the air.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19702,You should really check the weather before going out.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19703,Use a reusable bag for shopping to protect the environment.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19704,You should bring an umbrella when there are clouds in the sky.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19705,Make sure to check the temperature before heading out.,weather and environment,confused by technology,main character vibes,commands or instructions
19706,Keep an eye on weather conditions during a hike.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19707,You must understand the importance of preserving our forests; they are vital.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19708,You should monitor air quality regularly.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19709,Educate your friends about environmental issues.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19710,You should take precautions against extreme weather; it's unpredictable.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19711,You need to bundle up; it's cold.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19712,You need to set up a weather alert on your phone.,weather and environment,confused by technology,main character vibes,commands or instructions
19713,You can't just rely on technology; nature will always find a way to surprise you.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19714,Try to limit the use of plastic products.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19715,Be aware of wildlife when hiking.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19716,It's vital to respect nature's environment.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19717,Make use of reusable bags to help reduce waste.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19718,Don't forget to water the plants.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19719,You have to think about the future generations and the planet they will inherit.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19720,Know the signs of bad weather coming.,weather and environment,unsolicited advice-giver,ironic hype,commands or instructions
19721,Make sure to use energy-efficient appliances.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19722,Make sure to recycle your plastic bottles.,weather and environment,confused by technology,main character vibes,commands or instructions
19723,Always recycle your plastic bottles and cans.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19724,Make sure you wear sunscreen.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19725,Watch out for lightning; it's dangerous.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19726,It is important to monitor climate changes.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19727,You should really take this climate crisis seriously; it's no laughing matter.,weather and environment,catastrophizing and dramatic,chronically online,commands or instructions
19728,You should keep an eye on the storm forecast.,weather and environment,confused by technology,main character vibes,commands or instructions
19729,Don't leave the refrigerator door open for too long.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19730,Don't leave the windows open when it's cold outside.,weather and environment,confused by technology,main character vibes,commands or instructions
19731,Check the weather app for updates.,weather and environment,confused by technology,main character vibes,commands or instructions
19732,You ought to take public transit instead of driving.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19733,Always put on sunscreen when you are outside.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19734,Make sure to plant trees for environmental benefits.,weather and environment,formal and slightly stiff,main character vibes,commands or instructions
19735,Check for weather advisories before planning a trip.,weather and environment,completely out of touch with youth culture,rizz-coded smooth talker,commands or instructions
19736,Remember to pick up trash when you see it.,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions
19737,Be careful with open flames.,weather and environment,worried and concerned parent,villain arc mentality,commands or instructions
19738,It's advisable to avoid swimming during a lightning storm.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19739,Ensure your windows are closed during the storm.,weather and environment,formal and slightly stiff,low effort minimal energy,commands or instructions
19740,Be mindful of the effects of pollution on your health.,weather and environment,completely out of touch with youth culture,main character vibes,commands or instructions
19741,It's crucial that you keep up with your doctor's appointments.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19742,Let me know if you're feeling unwell; I worry about you.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19743,The doctor always said an apple a day keeps the doctor away.,health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
19744,It's important that you take regular breaks for your mental well-being.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19745,Regular dental check-ups are essential!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19746,I’m worried about the amount of time you spend indoors.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19747,It's important to take breaks during your work to avoid burnout.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19748,You can't be serious about your skincare routine.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19749,You should certainly consider joining a support group.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19750,You should not ignore your body’s signals!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19751,You need to focus on your well-being!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19752,You should practice mindfulness for better mental health!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19753,I loved how we shared health tips with friends in person.,health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
19754,Those headaches might mean something is wrong.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19755,You must be aware of the signs of depression!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19756,Stay away from excessive noise for better mental clarity.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19757,It would be wise to limit your intake of refined carbohydrates.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19758,You should really avoid sugary drinks!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19759,Always check the expiration dates!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19760,You must learn to cope with stress effectively!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19761,I'm deeply worried about your sleeping habits.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19762,You need to know when to say no for the sake of your health.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19763,You should seek balance in your life!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19764,It would be wise to monitor your cholesterol levels.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19765,You should regularly check your blood pressure!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19766,You need to be consistent with your workouts.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19767,You need regular check-ups to catch health issues early!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19768,Your mental health is just as important as your physical health.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19769,Vaccinations are important for public health!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19770,You should consider the benefits of meditation for relaxation.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19771,Take care of your skin; it’s the only one you’ve got.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19772,Don’t just scroll through remedies; consult a doctor.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19773,Try to limit your caffeine consumption.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19774,I think you need to exercise more.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19775,It's important to listen to your body when it needs rest.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19776,You need to manage your stress!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19777,Don’t underestimate the power of a good night's sleep.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19778,It's okay to ask for assistance when you need it.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19779,You need to stop being so reckless with your health.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19780,You look like death warmed over.,health and medicine,using outdated idioms,extremely overdramatic,exclamations or reactions
19781,You shouldn't be so reckless with your choices.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19782,You have to take medication as prescribed!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19783,You can’t skip exercise and expect to feel good.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19784,It's important to get enough sleep every night.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19785,I strongly suggest you participate in community health programs.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19786,Remember to take breaks when you’re studying.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19787,You need to quit junk food!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19788,Healthy relationships contribute positively to your mental state.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19789,Don't skip your annual physical!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19790,I cherished the days when we didn’t rely on technology for health.,health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
19791,You’re burning the candle at both ends.,health and medicine,using outdated idioms,extremely overdramatic,exclamations or reactions
19792,Don't forget to hydrate throughout the day.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19793,Please remember to stay hydrated throughout the day.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19794,Staying informed about health topics is very important!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19795,You ought to take breaks while studying.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19796,It would be prudent to assess your eating habits.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19797,You need to take your vitamins every day!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19798,I believe it would be beneficial to explore meditation.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19799,You need to quit smoking!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19800,You should really consider a better sleep routine.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19801,It's important to understand your family medical history!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19802,Don't be afraid to explore new hobbies.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19803,You have to watch your cholesterol!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19804,You can’t just brush off your health problems.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19805,Make sure you get enough fiber!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19806,You can't always trust trends for your health.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19807,Staying hydrated is essential for your body's functions.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19808,Regular health screenings can catch issues early.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19809,You should avoid prolonged exposure to screens for eye health.,health and medicine,full lecture mode,low effort minimal energy,exclamations or reactions
19810,"Surgery was a last resort for us, not a go-to.",health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
